time,14C_Vin_30,14C_Vin_4,14C_Vin_10,14C_Vin_23,14C_Vin_16,14C_Hal_10,14C_Hal_4,14C_Hal_16,14C_Hal_23,14C_Hal_30,14C_WalOf_4,14C_WalOf_10,14C_WalOf_30,14C_WalOf_16,14C_WalOf_23,14C_WalOh_4,14C_WalOh_10,14C_WalOh_30,14C_WalOh_16,14C_WalOh_23,14C_ThOh_4,14C_ThOh_30,14C_ThOh_23,14C_ThOh_16,14C_ThOh_10,14C_ThA1_4,14C_ThA1_10,14C_ThA1_16,14C_ThA1_23,14C_ThA1_30,14C_LaA1_4,14C_LaA1_10,14C_LaA1_16,14C_LaA1_23,14C_LaA1_30
1,100.01,100.02,100.01,100.02,100.03,100.01,100.02,100.01,100.01,100.02,100.01,100.01,100.03,100.02,100.01,,,99.99,,100.01,100.02,100.03,100.01,100.02,100.01,100.01,100.02,100.03,100.01,100.02,100.03,100.01,100.01,100.02,100.01
20,83.95,85.04,76.54,76.23,74.38,69.71,72.68,65.63,61.64,61.95,93.43,88.58,83.17,84.88,84.03,99.29,96.33,93.36,96.78,92.67,78.66,62.84,63.29,74.76,73.62,71.15,67.95,65.66,58.11,56.96,76.92,70.53,65.27,64.82,57.06
49,76.53,77.25,72.52,72.21,70.36,64.79,70.82,61.92,56.71,59.47,85.72,80.59,71.75,75.46,73.18,95.38,91.73,86.71,91.51,85.11,72.92,54.58,50.91,58.93,62.83,69.54,59.93,52.83,46.42,43.91,70.96,62.74,56.81,50.41,45.84
89,72.51,73.49,70.04,68.49,67.26,63.23,68.95,60.36,54.84,56.99,77.43,74.58,64.04,68.59,66.32,91.24,86.67,79.82,84.16,76.63,69.93,52.05,45.85,48.38,56.41,67.23,56.71,47.32,42.05,39.77,67.49,58.82,51.97,44.89,38.95
180,70.32,70.67,64.77,62.92,59.83,61.33,65.19,57.53,52.31,51.09,,,,,,,,,,,64.87,50.65,43.09,41.48,48.82,62.14,51.84,43.61,39.26,35.59,62.61,53.48,46.63,38.87,33.85
210,,,,,,,,,,,68.79,67.37,58.82,61.10,57.11,83.36,77.19,68.98,71.94,65.33,,,,,,,,,,,,,,,
292,66.91,67.53,59.18,57.02,53.01,59.11,61.12,53.46,48.86,44.87,,,,,,,,,,,59.35,49.03,41.01,38.93,42.15,56.35,47.66,41.03,36.22,32.01,57.26,46.98,39.68,33.97,28.95
321,,,,,,,,,,,66.44,61.59,57.32,57.32,51.91,80.52,73.66,65.91,65.91,61.57,,,,,,,,,,,,,,,
400,63.78,64.38,54.22,51.44,46.19,56.88,56.13,50.31,45.71,38.95,,,,,,,,,,,53.36,47.63,39.14,37.99,35.93,51.03,42.56,37.99,33.18,28.61,52.36,41.17,34.55,29.31,24.96
470,,,,,,,,,,,65.76,55.51,55.22,52.37,44.97,78.77,72.16,64.85,62.34,60.05,,,,,,,,,,,,,,,
550,60.35,61.23,48.01,44.92,38.75,54.63,51.72,46.21,41.91,32.71,,,,,,,,,,,47.83,45.53,37.28,35.91,29.25,45.22,37.67,34.47,30.35,25.09,46.05,34.41,28.24,25.04,20.71