site,experimentalTreatment_1,carbonMean,carbonSD,carbonSE,carbonUnits,nitrogenMean,nitrogenSD,nitrogenSE,nitrogenUnits,bulkDensityMean,bulkDensitySD,bulkDensitySE,replicates,pH,redox,percentClay,percentSand,percentSilt,microbialBiomass,microbialBiomassUnits
Indian Head,native grassland,37.1,,,g/kg,3.58,,,g/kg,,,,,,,50,,,,
Indian Head,cultivated,22.9,,,g/kg,2.04,,,g/kg,,,,,,,61,,,,
Mandan,native grassland,32.4,,,g/kg,2.93,,,g/kg,,,,,,,28,,,,
Mandan,cultivated,28,,,g/kg,2.4,,,g/kg,,,,,,,33,,,,
Akron,native grassland,11.6,,,g/kg,1.35,,,g/kg,,,,,,,23,,,,
Akron,cultivated,6.9,,,g/kg,1,,,g/kg,,,,,,,28,,,,
Vernon,native grassland,11.2,,,g/kg,1.29,,,g/kg,,,,,,,31,,,,
Vernon,cultivated,10.2,,,g/kg,1.25,,,g/kg,,,,,,,44,,,,
Alajuela,native forest,200.2,,,g/kg,16.6,,,g/kg,,,,,,,9,,,,
Alajuela,pasture,141.6,,,g/kg,10.45,,,g/kg,,,,,,,12,,,,
Rondonia,native forest,10.6,,,g/kg,1.09,,,g/kg,,,,,,,30,,,,
Rondonia,pasture,14.1,,,g/kg,1.33,,,g/kg,,,,,,,25,,,,