"citationKey","doi","entryAuthor","entryCreationDate","incubationTime","X.Alfisol.","X.Dark.grey.Luvisol.","X.Gelisols.","X.Coarse..to.fine.loamy.","X.Fine.loamy.Haplumbrepts..organic.poor..CL..","X.Coarse.loamy.Haplumbrepts..organic.rich..CH..","X.Fine.loamy.Dystrochrept..HMC..","X.organic.poor..HMC..HMH..","X.organic.rich..HOC..HOH..","X.Ulttisol.","X.Ultisol.","X.Ultisol..1","X.Ferric.podzol.","X.Dystric.cambisol.","X.Cambic.podzol.","X.Chromic.luvisol.","X.Chromic.cambisol.","X.Haplocryods..Cryochrepts.","X.Udipsamment.","X.Haplorthods..Fragiorthods.","X.Hapludults..Dystrochrepts.","X.Hapludalfs..Quartzipsamment..Endoaquults..Paleaquults..Alaquods.","X.Kanhapludults.","X.silt.loam.haplic.Luvisol.","X.Udic.Boroll.","X.Typic.Argiboroll.","X.Aridic.Paleustoll.","X.Typic.Paleustoll.","X.Hydric.Melanudand.","X.Paleudult...Kandidult.","X.Chernic.tenosol.","X.Stagnic.Cambisol.","X.Stagnic.Gleysol.","X.mor.type.humus.layer.","X.mor.type.humus.layer..1","X.mor.type.humus.layer..2","X.mor.type.humus.layer..3","X.mor.type.humus.layer..4","X.mor.type.humus.layer..5","X.mor.type.humus.layer..6","X.Cambisol.","X.Humic.anfisol.","X.Gleyic.luvisol.","X.Luvisol.","X.Dystric.cambisol..1","X.Peaty.gley.","NA_real_.","NA_real_..1","X.Cambisol..1","NA_real_..2","X.Gleyic.luvisol..1","X.Luvisol..1","X.Dystric.cambisol..2","X.Peaty.gley..1","NA_real_..3","NA_real_..4","X.Gelic.Cambisol.","X.Oxyaquic.Hapludalf.","X.Tyipc.Hapludalf.","X.Aeric.Haplaquept.","X.Mollic.Udifluvent.","X.Aquic.Haplustoll.","X.Typic.Argiudoll.","X.Orthic.Black.Chernozem.","X.Andisol.","X.Permafrost.","X.Inceptisol.cryept.","X.Gelisol.orthel.","X.Gelisol.histel.","X.Helena.series..Ultisol.","X.Typical.Haplaquept.","X.Typical.Hapludult.","X.Typical.Fluvaquent."
"Fang2005","10.1038/nature03138","Heidi Voelkel","2016-08-19",108,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Fissore2009","10.1111/j.1365-2486.2009.01903.x","Heidi Voelkel","2016-08-19",525,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Gillabel2010","10.1111/j.1365-2486.2009.02132.x","Heidi Voelkel","2016-08-23",176,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Grisi1998","10.1016/S0038-0717(98)00016-9","Heidi Voelkel","2016-08-23",150,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Haddix2011","10.2136/sssaj2010.0118","Heidi Voelkel","2016-08-24",588,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Hartley2008","10.1111/j.1461-0248.2008.01223.x","Heidi Voelkel","2016-08-30",200,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"HartleyIneson2008","10.1016/j.soilbio.2008.01.007","Heidi Voelkel","2016-08-30",NA,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Hopkins2006","10.1016/j.soilbio.2006.01.012","Heidi Voelkel","2016-09-20",48,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"JenkinsAdams2011","10.1016/j.soilbio.2011.02.017","Heidi Voelkel","2016-09-22",120,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"Lavoie2011JGR","10.1029/2010JG001629","Maddie Tilyou","2016-10-13",924,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"LeifeldFuhrer2005","10.1007/s10533-005-2237-4","Heidi Voelkel","2016-09-30",707,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
"NeffHooper2002","10.1046/j.1365-2486.2002.00517.x","Heidi Voelkel","2016-10-07",352,"Alfisol","Dark grey Luvisol","Gelisols","Coarse- to fine loamy","Fine loamy Haplumbrepts, organic-poor (CL)","Coarse loamy Haplumbrepts, organic-rich (CH)","Fine-loamy Dystrochrept (HMC)","organic-poor (HMC, HMH)","organic-rich (HOC, HOH)","Ulttisol","Ultisol","Ultisol","Ferric podzol","Dystric cambisol","Cambic podzol","Chromic luvisol","Chromic cambisol","Haplocryods, Cryochrepts","Udipsamment","Haplorthods, Fragiorthods","Hapludults, Dystrochrepts","Hapludalfs, Quartzipsamment, Endoaquults, Paleaquults, Alaquods","Kanhapludults","silt loam haplic Luvisol","Udic Boroll","Typic Argiboroll","Aridic Paleustoll","Typic Paleustoll","Hydric Melanudand","Paleudult & Kandidult","Chernic tenosol","Stagnic Cambisol","Stagnic Gleysol","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","mor-type humus layer","Cambisol","Humic anfisol","Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Cambisol",NA,"Gleyic luvisol","Luvisol","Dystric cambisol","Peaty gley",NA,NA,"Gelic Cambisol","Oxyaquic Hapludalf","Tyipc Hapludalf","Aeric Haplaquept","Mollic Udifluvent","Aquic Haplustoll","Typic Argiudoll","Orthic Black Chernozem","Andisol","Permafrost","Inceptisol cryept","Gelisol orthel","Gelisol histel","Helena series, Ultisol","Typical Haplaquept","Typical Hapludult","Typical Fluvaquent"
